date,open,close,high,low,volumefrom,volumeto
2024-03-24,85.28,89.64,90.64,85.26,495540.14,43923622.0
2024-03-25,89.64,90.62,92.06,88.58,487463.18,44005416.91
2024-03-26,90.62,95.77,96.98,87.64,973506.11,89974360.15
2024-03-27,95.77,93.52,98.85,92.37,867530.08,83072142.16
2024-03-28,93.52,94.15,96.52,93.41,575652.72,54741218.59
2024-03-29,94.15,109.09,110.44,92.87,1158101.38,118163109.49
2024-03-30,109.09,102.91,109.24,101.15,504534.02,52576240.8
2024-03-31,102.91,105.06,106.72,101.41,412037.42,42821107.85
2024-04-01,105.06,99.3,112.88,97.29,949149.92,99581249.66
2024-04-02,99.3,106.78,108.98,93.42,1331236.77,136116976.48
2024-04-03,106.78,98.35,109.85,96.62,754941.24,76745609.47
2024-04-04,98.35,98.47,104.2,96.3,771998.64,77283388.71
2024-04-05,98.47,97.9,100.22,95.16,496859.6,48755238.23
2024-04-06,97.9,101.63,102.47,97.25,280215.68,28068569.05
2024-04-07,101.63,101.22,105.92,100.19,440202.02,45340933.05
2024-04-08,101.22,103.24,105.99,99.63,538413.34,55716288.28
2024-04-09,103.24,97.53,103.4,96.5,412713.33,41058511.78
2024-04-10,97.53,96.71,98.25,93.53,378489.18,36403771.57
2024-04-11,96.71,98.75,99.97,94.92,346993.0,33890584.64
2024-04-12,98.75,86.16,99.51,80.31,922658.84,82456180.47
2024-04-13,86.16,77.5,86.6,70.87,1103376.45,88089927.14
2024-04-14,77.5,79.82,80.44,73.93,668565.82,51936486.16
2024-04-15,79.82,78.11,82.87,75.7,546475.85,43353831.63
2024-04-16,78.11,80.0,80.45,75.46,360614.54,28221238.07
2024-04-17,80.0,80.18,80.8,76.42,317077.3,25023982.64
2024-04-18,80.18,80.8,82.52,78.68,353505.88,28590487.57
2024-04-19,80.8,80.89,82.18,75.85,351378.18,28137265.87
2024-04-20,80.89,85.09,86.01,80.35,222895.42,18602954.96
2024-04-21,85.09,84.17,85.69,82.77,158346.14,13384834.49
2024-04-22,84.17,85.45,86.5,83.99,222681.36,18996021.88
2024-04-23,85.45,85.05,86.44,84.05,220228.35,18723131.78
2024-04-24,85.05,83.2,87.68,82.3,359746.39,30716486.04
2024-04-25,83.2,83.77,85.03,81.85,273768.62,22868962.23
2024-04-26,83.77,88.06,88.51,83.11,551602.87,47746948.56
2024-04-27,88.06,83.84,88.41,83.17,379152.29,32373408.55
2024-04-28,83.84,83.97,85.4,83.61,180209.68,15247498.83
2024-04-29,83.97,83.48,85.6,81.78,259586.65,21638732.46
2024-04-30,83.48,79.44,84.5,77.26,338944.28,27098332.28
2024-05-01,79.44,80.06,80.79,74.57,374708.63,29166126.61
2024-05-02,80.06,80.05,81.26,78.63,219650.93,17569311.68
2024-05-03,80.05,81.91,84.68,79.38,224091.84,18178047.55
2024-05-04,81.91,81.69,82.97,81.63,170216.64,13977909.25
2024-05-05,81.69,81.34,81.79,80.43,182876.44,14856421.55
2024-05-06,81.34,80.8,84.18,80.05,345591.3,28322717.62
2024-05-07,80.8,80.84,82.63,79.83,246726.11,20094244.61
2024-05-08,80.84,81.66,82.28,79.34,259585.36,21014526.43
2024-05-09,81.66,83.07,83.14,80.7,187659.5,15392301.7
2024-05-10,83.07,80.22,83.47,79.58,181231.35,14788983.21
2024-05-11,80.22,81.37,82.23,80.14,139591.78,11308126.53
2024-05-12,81.37,81.38,82.13,80.86,108509.29,8850332.48
2024-05-13,81.38,80.61,82.49,78.92,244152.03,19813206.19
2024-05-14,80.61,78.73,82.02,78.56,279424.25,22326524.14
2024-05-15,78.73,82.52,82.89,78.25,255436.3,20497897.44
2024-05-16,82.52,82.45,83.26,81.41,211998.18,17449893.63
2024-05-17,82.45,84.19,84.24,81.94,187041.12,15566544.72
2024-05-18,84.19,83.88,84.82,83.49,144541.99,12150627.68
2024-05-19,83.88,82.39,84.4,81.84,121530.99,10103805.08
2024-05-20,82.39,88.65,89.13,82.38,291061.19,24844694.07
2024-05-21,88.65,88.24,89.61,86.98,381028.89,33650490.78
2024-05-22,88.24,85.74,88.46,84.88,330665.19,28578105.69
2024-05-23,85.74,85.43,87.93,80.82,507549.0,43196305.37
2024-05-24,85.43,85.0,86.44,84.01,282631.7,24083407.34
2024-05-25,85.0,85.0,85.93,84.45,131760.76,11211726.19
2024-05-26,85.0,83.86,85.27,83.56,136176.9,11498194.48
2024-05-27,83.86,85.18,86.36,83.78,150959.57,12838886.75
2024-05-28,85.18,83.36,85.46,82.01,225969.91,18848048.11
2024-05-29,83.36,83.48,84.12,82.58,177746.23,14855419.0
2024-05-30,83.48,84.43,85.51,81.92,263852.43,22201192.71
2024-05-31,84.43,83.14,84.62,81.99,173980.49,14540590.22
2024-06-01,83.14,83.43,83.77,82.86,96736.06,8057419.15
2024-06-02,83.43,83.09,83.47,82.16,114525.17,9492296.11
2024-06-03,83.09,82.82,84.23,82.61,155172.32,12943344.64
2024-06-04,82.82,83.68,83.72,81.14,174070.44,14371248.17
2024-06-05,83.68,85.44,85.46,83.54,170328.53,14365188.11
2024-06-06,85.44,84.17,85.78,84.14,200821.7,17080214.6
2024-06-07,84.17,80.1,84.82,75.31,423554.89,34057866.52
2024-06-08,80.1,79.98,80.44,78.9,141222.94,11269342.98
2024-06-09,79.98,80.47,80.7,79.52,96700.71,7753251.5
2024-06-10,80.47,79.63,80.49,79.06,178666.01,14249242.15
2024-06-11,79.63,77.29,79.76,75.65,461276.09,35874356.26
2024-06-12,77.29,78.49,79.27,76.36,324738.38,25331876.06
2024-06-13,78.49,79.12,79.79,77.29,403766.28,31760123.69
2024-06-14,79.12,77.57,80.25,76.35,394185.67,30903254.36
2024-06-15,77.57,79.19,79.41,77.37,153014.19,12024474.52
2024-06-16,79.19,78.95,80.08,78.57,152459.61,12086196.53
2024-06-17,78.95,76.6,79.2,75.11,273635.89,21154629.96
2024-06-18,76.6,72.64,76.74,70.68,528513.58,38394616.21
2024-06-19,72.64,73.76,74.94,72.5,202120.69,14952772.12
2024-06-20,73.76,74.69,75.32,73.2,236259.32,17583919.62
2024-06-21,74.69,74.15,74.71,72.16,241835.24,17763575.01
2024-06-22,74.15,74.57,74.86,73.55,120160.91,8918326.85
2024-06-23,74.57,73.33,75.0,73.29,158832.07,11803929.02
2024-06-24,73.33,69.67,73.39,67.6,389991.87,27262120.6
2024-06-25,69.67,71.34,71.97,69.39,202906.9,14366105.46
2024-06-26,71.34,70.98,71.95,70.41,189311.8,13490007.85
2024-06-27,70.98,73.17,73.25,70.51,172447.06,12380934.77
2024-06-28,73.17,72.78,74.66,72.46,351586.28,25819528.31
2024-06-29,72.78,74.83,76.7,72.76,280353.54,20954930.05
2024-06-30,74.83,75.22,75.89,74.01,240389.72,18007636.84
2024-07-01,75.22,74.31,75.84,74.1,211150.43,15804247.52
2024-07-02,74.31,75.92,76.09,74.2,187035.13,14022721.59
2024-07-03,75.92,72.07,76.13,71.72,277032.56,20473489.01
2024-07-04,72.07,65.4,72.35,65.03,398461.6,27360769.1
2024-07-05,65.4,61.88,65.56,57.0,846628.34,51030436.78
2024-07-06,61.88,65.41,65.68,61.46,293121.66,18658884.97
2024-07-07,65.41,62.05,65.58,61.64,230358.62,14695794.02
2024-07-08,62.05,64.91,66.93,59.3,448345.44,28611434.94
2024-07-09,64.91,65.32,66.27,64.27,198423.21,12984682.94
2024-07-10,65.32,66.98,67.29,64.54,212149.37,14030333.46
2024-07-11,66.98,67.37,69.14,66.47,231193.18,15726517.1
2024-07-12,67.37,69.29,69.43,66.81,305083.97,20942087.84
2024-07-13,69.29,69.85,70.67,69.18,215343.59,15052923.19
2024-07-14,69.85,69.97,70.54,69.28,164915.9,11538510.82
2024-07-15,69.97,72.34,72.55,69.73,311407.89,22107448.29
2024-07-16,72.34,73.24,74.1,70.39,278209.39,20219117.11
2024-07-17,73.24,71.38,74.27,71.16,256425.05,18634536.99
2024-07-18,71.38,71.63,72.95,70.55,209330.03,15022733.18
